,University,Website
949,Daiichi College of Pharmaceutical Sciences,www.daiichi-cps.ac.jp
950,"Dai Ichi University, College of Technology",www.daiichi-koudai.ac.jp
951,Daiichi University of Economics,www.daiichi-ue.ac.jp
952,Daito Bunka University,www.daito.ac.jp
953,Dalanj University,www.dalanjuniversity.edu.sd
954,Dalarna University College,www.du.se
955,Dalhousie University,www.dal.ca
956,Dalian Martime University,www.dlmu.edu.cn
957,Dalian Medical University,www.dlmedu.edu.cn
958,Dalian Polytechnic University,www.dlpu.edu.cn
959,Dalian University,www.dlu.edu.cn
960,Dalian University of Foreign Language,www.dlufl.edu.cn
961,Dalian University of Technology,www.dlut.edu.cn
962,Damanhour University,www.damanhour.edu.eg
963,Damascus University,www.damascusuniversity.edu.sy
964,Damghan University of Basic Sciences,www.dubs.ac.ir
965,Damietta University,www.du.edu.eg
966,Dammam Community College,www.dcc.edu.sa
967,Danang College Of Technology,www.dct.udn.vn
968,Daneshestan Institute of Higher Education,www.sdi.ac.ir
969,Dániel Berzsenyi Teacher Training College,www.bdtf.hu
970,Danish Business Academy,www.ddea.dk
971,Danish University of Education,www.dpu.dk
972,Dankook University,www.dankook.ac.kr
973,Dar al Hekma College,www.daralhekma.edu.sa
974,Dar Al-Uloom Colleges,www.dau.edu.sa
975,Dares Salaam Institute of Technology,www.dit.ac.tz
976,Darul Hikmah Islamic College,www.hikmah.edu.my
977,Darul Huda Islamic University,www.darulhuda.com
978,Darul Ihsan University,www.diu.ac.bd
979,Darul Naim College of Technology,www.ktd.edu.my
980,Darul Quran Islamic College University,kudqi.net.my
981,Darul Takzim Institute of Technology,www.instedt.edu.my
982,Darul Ulum Islamic College,kidu-darululum.blogspot.com
983,Daugavpils University,www.dau.lv
984,Davao Doctors College,www.davaodoctors.edu.ph
985,Dav University,www.davuniversity.org
986,Dawat University,www.dawat.edu.af
987,Dawood College of Engineering and Technology,www.dcet.edu.pk
988,Dayalbagh Educational Institute,www.dei.ac.in
989,Da-Yeh University,www.dyu.edu.tw
990,Daystar University,www.daystar.ac.ke
991,DCT International Hotel & Business Management School,www.dct.ch
992,Deakin University,www.deakin.edu.au
993,Debre Birhan University,www.dbu.edu.et
994,Debrecen University of Agricultural Sciences,www.agr.unideb.hu
995,Debre Markos University,www.dmu.edu.et
996,Deccan College Postgraduate and Research Institute,www.deccancollegepune.ac.in
997, Dedan Kimathi University of Technology,www.dkut.ac.ke
998,Deen Dayal Upadhyay Gorakhpur University,www.ddugu.edu.in
999,De Haagse Hogeschool,www.dehaagsehogeschool.nl
1000,DEI Bachelor & Master Degrees,www.dei.edu.gr
1001,De La Salle University,www.dlsu.edu.ph
1002,"De La Salle University, Araneta",www.araneta.dlsu.edu.ph
1003,Delft University of Technology,www.tudelft.nl
1004,Delhi College of Engineering (DCE),www.dceonline.net
1005,Delijan Payame Noor University,www.delijanpnu.ac.ir
1006,Delta University,www.deltauniv.edu.eg
1007,De Montfort University Leicester,www.dmu.ac.uk
1008,Deutsche Hochschule für Verwaltungswissenschaften Speyer,www.dhv-speyer.de
1009,Deutsche Sporthochschule Köln,www.dshs-koeln.de
1010,Deutsche Telekom Fachhochschule Leipzig,www.fh-telekom-leipzig.de
1011,"Deutsch-Ordens Fachhochschule Riedlingen, Hochschule für Wirtschaft",www.fh-riedlingen.de
1012,Devi Ahilya University of Indore,www.davv.ac.in
1013,DeVry Institute of Technology,www.cal.devry.ca
1014,Deylaman Institute of Higher Education,www.deylaman.ac.ir
1015,Dhaka International University,www.diu.net.bd
1016,Dhaka University of Engineering and Technology,www.duet.ac.bd
1017,Dhirubhai Ambani Institute of Information and Communication Technology,www.da-iict.org
1018,Dhofar University,www.du.edu.om
1019,Dhurakijpundit University,www.dpu.ac.th
1020,Diaconia University of Applied Sciences,www.diak.fi
1021,Dibrugarh University,www.dibru.ernet.in
1022,Dicle (Tirgris) University,www.dicle.edu.tr
1023,Dijlah University College,www.duc.edu.iq
1024,Dilla University,www.dillauniversity.edu.et
1025,Dimocritus University of Thrace,www.duth.gr
1026,DIPLOMA-Fachhochschule Ölsnitz/Vogtland,www.diploma.de
1027,Dirección General de Institutos Tecnológicos,www.dgit.gob.mx
1028,Dire Dawa University,www.ddu.edu.et
1029,Divine Word College of Legazpi,www.dwc-legazpi.edu
1030,Divine Word University,www.dwu.ac.pg
1031,Diyala University,www.uodiyala.edu.iq
1032,Dneprodzerzhinsk State Technical University,www.dstu.dp.ua
1033,Dnepropetrovsk National University,www.dnu.dp.ua
1034,Dnepropetrovsk National University of Railway Transport,www.diit.edu.ua
1035,Dogus University,www.dogus.edu.tr
1036,Doho University,www.doho.ac.jp
1037,Dohto University,www.dohto.ac.jp
1038,Dokkyo University,www.dokkyo.ac.jp
1039,Dokkyo University School of Medicine,www.dokkyomed.ac.jp
1040,Dokuz Eylül University,www.deu.edu.tr
1041,Dominican College of Philosophy and Theology,www.op.org
1042,Dominica State College,www.dsc.dm
1043,Donau-Universität Krems,www.donau-uni.ac.at
1044,Donetsk National Technical University,www.donntu.edu.ua
1045,Donetsk National University,www.donnu.edu.ua
1046,Donetsk State Medical University,www.donmeduni.com
1047,Dong-A University,www.donga.ac.kr
1048,Dongbei University of Finance And Economics,www.dufe.edu.cn
1049,Dongduk Women's University,www.dongduk.ac.kr
1050,Dong Eui University,www.dongeui.ac.kr
1051,Dongguk University,www.dongguk.ac.kr
1052,"Donghua University, Shanghai",www.dhu.edu.cn
1053,Dongseo University,www.dongseo.ac.kr
1054,Dongshin University,www.dongshinu.ac.kr
1055,Dong Yang University of Technology,www.dytc.ac.kr
1056,Don Mariano Marcos Memorial State University,www.dmmmsu.edu.ph
1057,Don State Agrarian University,www.dongau.ru
1058,Don State Technical University,www.dstu.edu.ru
1059,Doshisha University,www.doshisha.ac.jp
1060,Doshisha Women's College of Liberal Arts,www.dwc.doshisha.ac.jp
1061,Douglas College,www.douglas.bc.ca
1062,Dow University of Health Sciences,www.duhs.edu.pk
1063,Dravidian University,www.dravidianuniversity.ac.in
1064,Dr. Babasaheb Ambedkar Marathwada Universtiy,www.bamu.net
1065,Dr. Babasaheb Ambedkar Technological University,www.dbatechuni.org
1066,Dr. Bhim Rao Abdekar University,www.brauagra.com
1067,Dr. B.R. Ambedkar Open University,www.braou.ac.in
1068,"Dr. B.R. Ambedkar University, Srikakulam",www.brau.edu.in
1069,Dr. C.V. Raman University,www.cvru.ac.in
1070,Dr. D.Y. Patil University,www.dypatiluniversity.org
1071,"Dr. Hari Singh Gour University, formerly University of Sagar",www.sagaruniversity.nic.in
1072,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,www.pdkv.ac.in
1073,Dr. Ram Manohar Lohia Avadh University,www.rmlau.ac.in
1074,Dr. YS Parmar University of Horticulture and Forestry,www.ysparmaruniversity.org
1075,Drzavni Univerzitet u Novom Pazaru,www.np.ac.rs
1076,Duale Hochschule Baden-Württemberg,www.dhbw.de
1077,Dubai Medical College for Girls,www.dmcg.edu
1078,Dubai Pharmacy College,www.dpc.edu
1079,Dublin City University,www.dcu.ie
1080,Dublin Institute for Advanced Studies,www.dias.ie
1081,Dublin Institute of Technology,www.dit.ie
1082,"Dubna International University for Nature, Society and Man",www.uni-dubna.ru
1083,Duksung Women's University,www.duksung.ac.kr
1084,Dumlupinar University,www.dumlupinar.edu.tr
1085,Dunya Institute of Higher Education,www.dunya.edu.af
1086,Durban Institute of Technology,www.dit.ac.za
1087,Durham College,www.durhamc.on.ca
1088,Dutch Delta University,www.ddu.nl
1089,Dutch University Institute for Art History (DUIA),www.iuoart.org
1090,E.A.P. Europäische Wirtschaftshochschule Berlin,www.eap.net
1091,East Africa University Bosaso,www.eastafricauniversity.net
1092,East China Jiao Tong University,www.ecjtu.jx.cn
1093,East China Normal University,www.ecnu.edu.cn
1094,East China University of Science and Technology,www.ecust.edu.cn
1095,East Delta University,www.eastdelta.edu.bd
1096,Eastern Asia University,www.eau.ac.th
1097,Eastern Mediterranean University,www.emu.edu.tr
1098,Eastern University,www.easternuni.edu.bd
1099,Eastern University of Sri Lanka,www.esn.ac.lk
1100,East Kazakhstan State University,www.vkgu.kz
1101,East Kazakstan State Technical University,www.ektu.kz
1102,East-Siberian State Institute of Culture,www.vsgaki.burnet.ru
1103,East-Siberian State University,www.vsgtu.eastsib.ru
1104,East-Siberian State University of Technology,www.esstu.ru
1105,East Ukrainian National University,www.snu.edu.ua
1106,East West University,www.ewubd.edu
1108,Eberhard-Karls-Universität Tübingen,www.uni-tuebingen.de
1109,Ebonyi State University,www.ebsu-edu.net
1110,ECAM - Institut Supérieur Industriel,www.ecam.be
1111,Ecole Catholique d'Arts & Metiers,www.ecam.fr
1112,Ecole Centrale d'Electronique - ECE,www.ece.fr
1113,Ecole Centrale de Lille,www.ec-lille.fr
1114,Ecole Centrale de Lyon,www.ec-lyon.fr
1115,Ecole Centrale de Nantes,www.ec-nantes.fr
1116,Ecole d'Architecture de Nancy,www.nancy.archi.fr
1117,Ecole de l'Air,www.aea.asso.fr
1118,Ecole des Hautes Etudes Commerciales,www.hec.fr
1119,École des Hautes Études Commerciales,www.hec.ca
1120,Ecole des Hautes Etudes Commerciales du Nord,edu.edhec.com
1121,Ecole des Hautes Etudes Commerciales MAROC,www.hec.ac.ma
1122,Ecole des Hautes Etudes en Gestion Informatique et Communication,www.edhec.ac.ma
1123,Ecole des Hautes Etudes Industrielles de Lille,www.hei.fr
1124,Ecole des Ingénieurs de la Ville de Paris,www.eivp-paris.fr
1125,"École de technologie supérieure, Université du Québec",www.etsmtl.ca
1126,Ecole d'Ingénieurs en Informatique pour l'Industrie,www.e3i.univ-tours.fr
1127,Ecole Européen des Affaires,www.eap.fr
1128,"Ecole Européenne de Chimie, Polymères et Matériaux de Strasbourg",www-ecpm.u-strasbg.fr
1129,Ecole Française d'Electronique et d'Informatique,www.efrei.fr
1130,Ecole Française de Papeterie et des Industries Graphiques,www.efpg.inpg.fr
1131,Ecole Mohammadia d'Ingénieurs,www.emi.ac.ma
1132,Ecole National d'Agriculture de Meknes,www.enameknes.ac.ma
1133,Ecole Nationale d'Administration,www.ena.fr
1134,"École nationale d'administration publique, Université du Québec",www.enap.uquebec.ca
1135,Ecole Nationale d'Architecture,www.archi.ac.ma
1136,Ecole Nationale de la Météorologie,www.enm.meteo.fr
1137,Ecole Nationale de la Statistique et de l'Administration Economique,www.ensae.fr
1138,Ecole Nationale de la Statistique et de l'Analyse de l'information,www.ensai.fr
1139,Ecole Nationale de l'Aviation Civile,www.enac.fr
1140,Ecole Nationale des Ponts et Chausees,www.enpc.fr
1141,Ecole Nationale des Sciences Géographiques,www.ensg.ign.fr
1142,Ecole Nationale des Travaux Publics de l'Etat,www.entpe.fr
1143,Ecole Nationale d'Ingénieurs de Metz,www.enim.fr
1144,Ecole Nationale d'Ingénieurs de Saint-Etienne,www.enise.fr
1145,Ecole Nationale d'Ingénieurs des Techniques des Industries Agricoles et Alimentaires,www.enitiaa-nantes.fr
1146,Ecole Nationale d'Ingénieurs des Travaux Agricoles de Bordeaux,www.enitab.fr
1147,Ecole Nationale d'Ingénieurs des Travaux Agricoles de Clermont-Ferrand,www.enitac.fr
1148,Ecole Nationale d'Ingénieurs de Tarbes,www.enit.fr
1149,Ecole Nationale du Génie de l'Eau et de l'Environnement de Strasbourg,www-engees.u-strasbg.fr
1150,Ecole Nationale Supérieur de Géologie de Nancy,www.ensg.u-nancy.fr
1151,Ecole Nationale Supérieur de Mécanique et d'Aéronautique,www.ensma.fr
1152,Ecole Nationale Supérieur de Mécaniques et des Microtechniques,www.ens2m.fr
1153,Ecole Nationale Supérieur des Ingénieur des Etudes et Techniques d'Armement,www.ensieta.fr
1154,Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique,www.ensica.fr
1155,Ecole Nationale Supérieure Agronomique de Toulouse,www.ensat.fr
1156,Ecole Nationale Supérieure d'Agronomie de Montpellier,www.ensam.inra.fr
1157,Ecole Nationale Supérieure d'Agronomie de Rennes,agro.roazhon.inra.fr
1158,Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires,www.ensaia.u-nancy.fr
1159,Ecole Nationale Supérieure d'Arts et Métiers de Paris,www.paris.ensam.fr
1160,Ecole Nationale Supérieure de Biologie Appliquée à la Nutrition et à l'Alementation,www.u-bourgogne.fr
1161,Ecole Nationale Supérieure de Chimie de Clermont-Ferrand,ensccf.univ-bpclermont.fr
1162,Ecole Nationale Supérieure de Chimie de Lille,www.ensc-lille.fr
1163,Ecole Nationale Supérieure de Chimie de Montpellier,www.enscm.fr
1164,Ecole Nationale Supérieure de Chimie de Mulhouse,www.enscmu.univ-mulhouse.fr
1165,Ecole Nationale Supérieure de Chimie de Paris,www.enscp.jussieu.fr
1166,Ecole Nationale Supérieure de Chimie de Rennes,www.ensc-rennes.fr
1167,Ecole Nationale Supérieure de Chimie de Toulouse,www.univ-inpt.fr
1168,Ecole Nationale Supérieure de Chimie et de Physique de Bordeaux,www.enscpb.u-bordeaux.fr
1169,Ecole Nationale Supérieure de l'Aéronautique et de l'Espace,www.supaero.fr
1170,Ecole Nationale Supérieure d'Electrochimie et d'Electrométallurgie de Gernoble,www.inpg.fr
1171,"Ecole Nationale Supérieure d'Electronique, d'Electrotechnique, d'Informatique et d'Hydraulique de Toulouse",www.enseeiht.fr
1172,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Bordeaux,www.enserb.u-bordeaux.fr
1173,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Grenoble,www.enserg.fr
1174,Ecole Nationale Supérieure de l'Electronique et de ses Applications,www.ensea.fr
1175,Ecole Nationale Supérieure de Physique de Grenoble,www-enspg.inpg.fr
1176,Ecole Nationale Supérieure de Physique de Marseille,www.enspm.u-3mrs.fr
1177,Ecole Nationale Supérieure de Physique de Strasbourg,www-ensps.u-strasbg.fr
1178,Ecole Nationale Supérieure des Arts et Industries de Strasbourg,www-ensais.u-strasbg.fr
1179,Ecole Nationale Supérieure des Arts et Industries Textiles,www.ensait.fr
1180,Ecole Nationale Supérieure des Industries Chimiques de Nancy,www.ensic.u-nancy.fr
1181,Ecole Nationale Supérieure des Industries Textiles de Mulhouse,www.ensitm.fr
1182,Ecole Nationale Supérieure des Mines d'Alès,www.ensm-ales.fr
1183,Ecole Nationale Supérieure des Mines de Douai,www.ensm-douai.fr
1184,Ecole Nationale Supérieure des Mines de Nancy,www.mines.u-nancy.fr
1185,Ecole Nationale Supérieure des Mines de Paris,www.ensmp.fr
1186,Ecole Nationale Supérieure des Mines de St-Etienne,www.emse.fr
1187,Ecole Nationale Supérieure des Telecommunications de Bretagne,www.enst-bretagne.fr
1188,Ecole Nationale Supérieure des Telecommunications de Paris,www.enst.fr
1189,Ecole Nationale Supérieure de Techniques Avancées,www.ensta.fr
1190,Ecole Nationale Supérieure d'Hydraulique et de Mécanique de Grenoble,www.hmg.inpg.fr
1191,Ecole Nationale Superieure d'Informatique et de Mathematiques Appliquees de Grenoble,www-ensimag.imag.fr
1193,Ecole Nationale Supérieure d'Ingénieurs de Génie Chimique,www.inp-fc.fr
1194,Ecole Nationale Supérieure d'Ingenieurs Electriciens de Grenoble,www.ensieg.inpg.fr
1195,Ecole Nationale Supérieure d'Ingénieurs en Mécanique et Energétique de Valenciennes,www.univ-valenciennes.fr
1196,Ecole Nationale Supérieure du Pétrole et des Monteurs,www.ifp.fr
1197,Ecole Nationale Supérieure Electricité et Mécanique,www.ensem.u-nancy.fr
1199,Ecole Nationale Vétérinaire d'Alfort,www.vet-alfort.fr
1200,Ecole Nationale Vétérinaire de Lyon,www.vet-lyon.fr
1201,Ecole Nationale Vétérinaire de Nantes,www.vet-nantes.fr
1202,Ecole Nationale Vétérinaire de Toulouse,www.envt.fr
1203,Ecole Normale Supérieure de Cachan,www.ens-cachan.fr
1204,Ecole Normale Supérieure de Fontenay-Saint Cloud,www.ens-fcl.fr
1205,Ecole Normale Supérieure de Lyon,www.ens-lyon.fr
1206,Ecole Normale Supérieure de Paris,www.ens.fr
1207,Ecole Polytechnique,www.polytechnique.fr
1208,"École Polytechnique de Montréal, Université de Montréal",www.polymtl.ca
1209,Ecole Polytechnique Marseille,www.polytech-marseille.fr
1210,Ecole Polytechnique Universitaire de Lille,www.polytech-lille.fr
1211,Ecole pour les Etudes et la Recherche en Informatique et Electronique,www.eerie.fr
1212,Ecole Spéciale de Mécanique et d'Electricité,www.esme.fr
1213,Ecole Spéciale des Travaux Publics du Bâtiment et de l'Industrie,www.estp.fr
1214,Ecole Superieur d'Ingenieurs Leonard de Vinci,www.devinci.fr
1215,Ecole Supérieure d'Agriculture d'Angers,www.groupe-esa.com
1216,Ecole Supérieure d'Agriculture de Purpan,www.esa-purpan.fr
1217,Ecole Supérieure de Chimie Organique et Minérale,www.escom.fr
1218,Ecole Supérieure de Chimie Physique Electronique de Lyon,www.cpe.fr
1219,Ecole Supérieure de Commerce de Bordeaux,www.esc-bordeaux.fr
1220,Ecole Supérieure de Commerce de Brest,www.esc-brest.fr
1221,Ecole Supérieure de Commerce de Clermont-Ferrand,www.esc-clermont.fr
1222,Ecole Supérieure de Commerce de Dijon,www.escdijon.com
1223,Ecole Supérieure de Commerce de Grenoble,www.esc-grenoble.fr
1224,Ecole Supérieure de Commerce de Le Havre/Caen,www.esc-normandie.fr
1225,Ecole Supérieure de Commerce de Lille,www.esc-lille.fr
1226,Ecole Supérieure de Commerce de Lyon,www.em-lyon.com
1227,Ecole Supérieure de Commerce de Marseille-Provence,www.esc-marseille.fr
1228,Ecole Supérieure de Commerce de Nantes-Atlantique,www.escna.fr
1229,Ecole Supérieure de Commerce de Paris,www.escp.fr
1230,Ecole Supérieure de Commerce de Pau,www.esc-pau.fr
1231,Ecole Supérieure de Commerce de Reims,www.esc-reims.edu
1232,Ecole Supérieure de Commerce de Rouen,www.esc-rouen.fr
1233,Ecole Supérieure de Commerce de Sophia Antipolis,www.ceram.edu
1234,Ecole Supérieure de Commerce de Toulouse,www.esc-toulouse.fr
1235,Ecole Supérieure de Commerce et des Affaires,www.esca.ac.ma
1236,Ecole Supérieure de Commerce et Management,www.escem.fr
1237,Ecole Supérieure d'Electricité,www.supelec.fr
1238,Ecole Supérieure d'Electronique de l'Ouest,www.eseo.fr
1239,Ecole Supérieure de Physique et de Chimie Industrielles,www.espci.fr
1240,Ecole Supérieure des Sciences Commerciales d'Angers,www.essca.asso.fr
1241,Ecole Supérieure des Sciences Economiques et Commerciales,www.essec.fr
1242,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,www.esstin.u-nancy.fr
1243,Ecole Supérieure des Techniques Industrielles et des Textiles,www.fupl.asso.fr
1244,Ecole Superieure des Télécommunications,www.suptelecom.net.ma
1245,Ecole Supérieure d'Informatique-Electronique-Automatique,www.esiea.fr
1246,Ecole Supérieure d'Informatique et de Management,www.hightech.edu
1247,Ecole Supérieure d'Ingénieurs de Marseille,esim.imt-mrs.fr
1248,Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique,www.esiee.fr
1249,Ecole Supérieure d'Ingénieurs en Génie Electrique,www.esigelec.fr
1250,Ecole Supérieure d'Ingénieurs et de Techniciens pour l'Agriculture,www.esitpa.org
1251,Ecole Supérieure d'Optique,www.iota.u-psud.fr
1252,Ecole Supérieure Internationale d'Administration des Entreprises,www.esiae.fr
1253,Ecole Superieure Robert de Sorbon,www.sorbon.fr
1254,Ecole Universitaire d'Ingénieurs de Lille,www.eudil.fr
1255,Edith Cowan University,www.ecu.edu.au
1256,Edogawa University,www.edogawa-u.ac.jp
1257,Eelo American University,www.eelouniversity.org
1258,Effat College,www.effatcollege.edu.sa
1259,Egerton University,www.egerton.ac.ke
1260,Ege University,www.ege.edu.tr
1261,Ehime University,www.ehime-u.ac.jp
1262,EHSAL - Europese Hogeschool Brussel,www.ehsal.be
1263,Eichi University,www.eichi-u.ac.jp
1264,Eiilm University,www.eiilmuniversity.ac.in
1265,Eindhoven University of Technology,www.tue.nl
1266,Ekiti State University,www.eksu.edu.ng
1267,El Colegio de México,www.colmex.mx
1268,Elisabeth University of Music,www.eum.ac.jp
1269,Elmergib University,www.elmergib.edu.ly
1270,Elrazi College Of Medical & Technological Sciences,www.elrazicollege.net
1271,El Shorouk Academy,www.elshoroukacademy.edu.eg
1272,Emanuel University,www.emanuel.ro
1273,Emeishan Buddhist College,www.emsfj.com
1274,Emeq Yizrael College,www.yvc.ac.il
1275,EMESCAM - Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória,www.emescam.br
1276,Emilio Aguinaldo College,www.eac.edu.ph
1277,Emily Carr Institute of Art + Design,www.eciad.bc.ca
1278,Engineering College of Aarhus,www.iha.dk
1279,Engineering College of Copenhagen,www.ihk.dk
1280,Engineering Colleges in Bhubaneswar,www.krupajal.ac.in
1281,Engineering Colleges in Tamil Nadu,www.sonatech.ac.in
1282,Engineering Faculty of Asian University,www.efau.org
1283,ENIC Telecom Lille 1,www.enic.fr
1284,Enugu State University of Science and Technology,www.esut.edu.ng
1285,Eötvös Lorand University,www.elte.hu
1286,EPF Ecole d'Ingénieurs,www.epf.fr
1287,Epoka University,www.epoka.edu.al
1288,Erasmushogeschool Brussel,www.ehb.be
1289,Erasmus University Rotterdam,www.eur.nl
1290,Erciyes University,www.erciyes.edu.tr
1291,Eritrea Institute of Technology,www.eit.edu.er
1292,Ernst-Moritz-Arndt Universität Greifswald,www.uni-greifswald.de
1293,Escola Nautica Infante D. Henrique,www.enautica.pt
1294,Escola Superior de Artes e Design,www.esad.pt
1295,Escola Superior de Hotelaria e Turismo do Estoril,www.eshte.pt
1296,Escola Universitária Vasco da Gama,www.euvg.pt
1297,Escuela Agricola Panamericana Zamorano,www.zamorano.edu
1298,Escuela Bancaria y Comercial,www.ebc.mx
1299,Escuela Colombiana de Carreras Industriales,www.ecci.edu.co
1300,Escuela Colombiana de Ingeniería Julio Garavito,www.escuelaing.edu.co
1301,Escuela de Administración de Negocios,www.ean.edu.co
1302,Escuela de Arquitectura y Diseño,www.arquitecturaucv.cl
1303,Escuela de Ingeniería de Antioquia,www.eia.edu.co
1304,"Escuela de Policia ""General Santander""",www.escueladepolicia.edu.co
1305,Escuela Militar de Ingeniería,www.emi.edu.bo
1306,Escuela Nacional de Estudios Superiores Unidad León,www.enes.unam.mx
1307,Escuela Politécnica de Chimborazo,www.espoch.edu
1308,Escuela Politécnica del Ejercito,www.espe.edu.ec
1309,Escuela Politécnica Nacional,www.epn.edu.ec
1310,Escuela Superior de Gestion Comercial y Marketing (ESIC),www.esic.es
1311,Escuela Superiore de Administración Pública,www.esap.edu.co
1312,Escuela Superior Politécnica del Litoral,www.espol.edu.ec
1313,Espam Formation University,www.espam-formationuc.org
1314,Estonian Academy of Arts,www.artun.ee
1315,Estonian Academy of Music and Theatre,www.ema.edu.ee
1316,Estonian Academy of Security Sciences,www.sisekaitse.ee
1317,Estonian Business School,www.ebs.ee
1318,Estonian University of Life Sciences,www.emu.ee
1319,Esztergom Theological College,www.ehf.hu
1320,Ethiopian Civil Service University,www.ecsc.edu.et
1321,Etisalat University College,www.ece.ac.ae
1322,EUCLID University,www.euclid.int
1323,Eurasia International University,www.eiu.am
1324,Eurasian Institute of market,www.eurazir.kz
1325,"EURECOM, Graduate School In Communication Systems",www.eurecom.fr
1326,Europa Fachhochschule Fresenius,www.fh-fresenius.de
1327,Europäische Betriebswirtschafts-Akademie,www.eba-muenchen.de
1328,Europäische Fachhochschule,www.eufh.de
1329,Europa-Universität Viadrina Frankfurt (Oder),www.euv-frankfurt-o.de
1330,European Academy of Arts in Warsaw,www.eas.edu.pl
1331,European Business School,www.ebs-paris.com
1332,European Business School Schloß Reichartshausen,www.ebs.de
1333,European Carolus Magnus University,www.carolus-magnus-university.eu
1334,European College Dukagjini,dukagjinicollege.eu
1335,European College of Kosovo,eck-edu.org
1336,European College of Liberal Arts,www.ecla.de
1337,"European Graduate School, Media & Communications",www.egs.edu
1338,European Humanities University,www.data.minsk.by
1339,European Institute of Education,www.eieonline.com
1340,European International University,www.europeaniu.org
1341,European Management Center Paris,www.emc-campus.com
1342,European Management School,www.ems-mainz.de
1343,European Open University,www.europeanopenuniversity.com
1344,European Regional Educational Academy of Armenia,www.eriicta.am
1345,European School of Economics,www.eselondon.ac.uk
1346,European School of Economics,www.uniese.it
1347,European School of Law and Governance,www.eukos.org
1348,European University,www.euruni.edu
1349,European University,www.eu.ac.rs
1351,European University at St.Petersburg,www.eu.spb.ru
1352,European University Cyprus,www.euc.ac.cy
1353,European University Institute,www.iue.it
1354,European University of Lefke,www.lefke.edu.tr
1355,European University Portugal,www.europeanuniversity.pt
1356,"Evangelische Fachhochschule Berlin, Fachhochschule für Sozialarbeit und Sozialpädagogik",www.evfh-berlin.de
1357,Evangelische Fachhochschule Darmstadt,www.efh-darmstadt.de
1358,"Evangelische Fachhochschule Freiburg, Hochschule für Soziale Arbeit, Diakonie und Religionspädagogik",www.efh-freiburg.de
1359,"Evangelische Fachhochschule für Religionspädagogik, und Gemeindediakonie Moritzburg",www.fhs-moritzburg.de
1360,"Evangelische Fachhochschule für Sozialpädagogik der ""Diakonenanstalt des Rauhen Hauses"" Hamburg",www.rauheshaus.de
1361,Evangelische Fachhochschule Hannover,www.efh-hannover.de
1362,Evangelische Fachhochschule Ludwigshafen Hochschule für Sozial- und Gesundheitswesen,www.efhlu.de
1363,Evangelische Fachhochschule Nürnberg,www.evfh-nuernberg.de
1364,"Evangelische Fachhochschule Reutlingen-Ludwigsburg, Hochschule für Soziale Arbeit, Religionspädagogik und Diakonie",www.efh-reutlingen-ludwigsburg.de
1365,Evangelische Fachhochschule Rheinland-Westfalen-Lippe,www.efh-bochum.de
1366,Evangelische Hochschule für Soziale Arbeit Dresden (FH),www.ehs-dresden.de
1367,"Evangelische Theologische Faculteit, Leuven",www.etf.edu
1368,EVTEK University of Applied Sciences,www.evtek.fi
1369,Ewha Women's University,www.ewha.ac.kr
1370,FAAP - Fundação Armando Alvares Penteado,www.faap.br
1371,Fachhochschule Aachen,www.fh-aachen.de
1372,Fachhochschule Aschaffenburg,www.fh-aschaffenburg.de
1373,Fachhochschule Augsburg,www.fh-augsburg.de
1374,"Fachhochschule Biberach, Hochschule für Bauwesen und Wirtschaft",www.fh-biberach.de
1375,Fachhochschule Bielefeld,www.fh-bielefeld.de
1376,Fachhochschule Bingen,www.fh-bingen.de
1377,Fachhochschule Bochum,www.fh-bochum.de
1378,Fachhochschule Bonn-Rhein-Sieg,www.fh-bonn-rhein-sieg.de
1379,Fachhochschule Brandenburg,www.fh-brandenburg.de
1380,Fachhochschule Braunschweig/Wolfenbüttel,www.fh-wolfenbuettel.de
1381,Fachhochschule Burgenland,www.fh-burgenland.at
1382,Fachhochschule Deggendorf,www.fh-deggendorf.de
1383,Fachhochschule der Wirtschaft,www.fhdw.de
1384,Fachhochschule des BFI Wien,www.fh-vie.ac.at
1385,Fachhochschule des Mittelstandes (FHM),www.fhm-mittelstand.de
1386,Fachhochschule Dortmund,www.fh-dortmund.de
1387,Fachhochschule Düsseldorf,www.fh-duesseldorf.de
1388,Fachhochschule Eberswalde,www.fh-eberswalde.de
1389,Fachhochschule Erfurt,www.fh-erfurt.de
1390,Fachhochschule Flensburg,www.fh-flensburg.de
1391,Fachhochschule Frankfurt am Main,www.fh-frankfurt.de
1392,Fachhochschule für das öffentliche Bibliothekswesen Bonn,www.fhoebb.de
1393,Fachhochschule für die Wirtschaft,www.fhdw.bib.de
1394,Fachhochschule für Oekonomie und Management (FOM),www.fom.de
1395,Fachhochschule für Technik und Wirtschaft Berlin,www.fhtw-berlin.de
1396,"Fachhochschule Furtwangen, Hochschule für Technik und Wirtschaft",www.fh-furtwangen.de
1397,Fachhochschule für Verwaltung und Rechtspflege Berlin,www.fhvr.berlin.de
